nome,nometuss,tuss,valor_padrao,nome_plano,especialidade
"Microagulhamento ",,,"130.00","Particular","Estética"
"Protocolo de Saúde Gengival","Protocolo de Saúde Gengival",,"720.00","Particular","Periodontia"
"Ajuste de Implante",,,"0.00","Particular","Dentística"
"Punção Aspirativa","Punção Aspirativa na Região Buco-maxilo-facial - incluído em qualquer dos procedimentos de ""Biópsia""","82001103","140.00","Particular","Cirurgia"
"Exodontia com Retalho","Exodontia a Retalho","82000816","130.00","Particular","Cirurgia"
"Exodontia de Permanente por Indicação Ortodôntica/protética","Exodontia de Permanente por Indicação Ortodôntica/protética","82000832","100.00","Particular","Cirurgia"
"Exodontia de Raiz Residual","Exodontia de Raiz Residual","82000859","110.00","Particular","Cirurgia"
"Exodontia Simples de Decíduo","Exodontia Simples de Decíduo","83000089","60.00","Particular","Cirurgia"
"Reconstrução de Sulco Gengivo-labial","Reconstrução de Sulco Gengivo-labial","30201080","200.00","Particular","Cirurgia"
"Exodontia Simples de Permanente","Exodontia Simples de Permanente","82000875","100.00","Particular","Cirurgia"
"Frenulectomia Lingual (Frenectomia)","Frenulectomia Lingual","82000891","165.00","Particular","Cirurgia"
"Redução Cruenta de Fratura Alvéolo Dentária","Redução Cruenta de Fratura Alvéolo Dentária","82001170","170.00","Particular","Cirurgia"
"Frenulectonia Labial (Frenectomia)","Frenulectonia Labial","82000883","165.00","Particular","Cirurgia"
"Frenulotomia Labial (Frenotomia)","Frenulotomia Labial","82000905","165.00","Particular","Cirurgia"
"Redução Incruenta de Fratura Alvéolo Dentária","Redução Incruenta de Fratura Alvéolo-Dentária","82001189","95.00","Particular","Cirurgia"
"Frenulotomia Lingual (Frenotomia)","Frenulotomia Lingual","82000913","165.00","Particular","Cirurgia"
"Exodontia de Dentes Inclusos / Impactados","Remoção de Dentes Inclusos / Impactados","82001286","245.00","Particular","Cirurgia"
"Guia Cirúrgico para Implante","Guia Cirúrgico para Implante - por arcada","85500062","650.00","Particular","Implantodontia"
"Exodontia de Dentes Semi-inclusos / impactados","Remoção de Dentes Semi-inclusos / impactados","82001294","180.00","Particular","Cirurgia"
"Levantamento de seio","Levantamento de seio",,"1500.00","Particular","Implantodontia"
"Remoção de tumores intra ósseos ","Remoção de Odontoma - Tumores Intra Ósseos","82001367","250.00","Particular","Cirurgia"
"Prótese parcial removível implanto suportada","Prótese parcial removível implanto suportada",,"1500.00","Particular","Implantodontia"
"Sepultamento Radicular","Sepultamento Radicular","82001464","195.00","Particular","Cirurgia"
"Prótese total removível implanto suportada","Prótese total removível implanto suportada",,"1500.00","Particular","Implantodontia"
"Aparelho Extra Bucal","Aparelho Extra Bucal","86000055","325.00","Particular","Ortodontia"
"Tracionamento Cirúrgico com Finalidade Ortodôntica","Tracionamento Cirúrgico com Finalidade Ortodôntica","82001502","250.00","Particular","Cirurgia"
"Aparelho Ortodôntico Fixo Metálico","Aparelho Ortodôntico Fixo Metálico - por aparelho","86000098","100.00","Particular","Ortodontia"
"Tratamento Cirúrgico das Fístulas Buco-nasal","Tratamento Cirúrgico das Fístulas Buco-nasal","82001510","245.00","Particular","Cirurgia"
"Aparelho Ortodôntico Fixo metálico Parcial","Aparelho Ortodôntico Fixo metálico Parcial - por aparelho","86000110","100.00","Particular","Ortodontia"
"Tratamento Cirúrgico das Fístulas Buco-sinusal","Tratamento Cirúrgico das Fístulas Buco-sinusal","82001529","245.00","Particular","Cirurgia"
"Arco Lingual","Arco Lingual","86000144","285.00","Particular","Ortodontia"
"Tratamento Cirúrgico de Bridas Constritivas","Tratamento Cirúrgico de Bridas Constritivas da Região Buco-maxilo-facial","82001545","165.00","Particular","Cirurgia"
"Bionator de Balters","Bionator de Balters","86000179","360.00","Particular","Ortodontia"
"Contenção Fixa","Contenção Fixa - por Arcada","86000209","150.00","Particular","Ortodontia"
"Tratamento Cirúrgico de Hiperplasias de Tecidos Moles","Tratamento Cirúrgico de Hiperplasias de Tecidos Moles na Região Buco-maxilo-facial","82001553","180.00","Particular","Cirurgia"
"Disjuntor Palatino (Hirax)","Disjuntor Palatino - Hirax","86000225","340.00","Particular","Ortodontia"
"Tratamento Cirúrgico de Hiperplasias de Tecidos Ósseos","Tratamento Cirúrgico de Hiperplasias de Tecidos Ósseos / Cartilaginosos na Região Buco-maxilo-facial","82001588","250.00","Particular","Cirurgia"
"Disjuntor Palatino (Macnamara)","Disjuntor Palatino - Macnamara","86000233","290.00","Particular","Ortodontia"
"Tratamento Cirúrgico dos Tumores Benignos de Tecidos Moles","Tratamento Cirúrgico dos Tumores Benignos de Tecidos Moles na Região Buco-maxilo-facial","82001618","180.00","Particular","Cirurgia"
"Grade Palatina Fixa","Grade Palatina Fixa","86000314","295.00","Particular","Ortodontia"
"Tratamento Cirúrgico de Tumores Benignos de Tecidos Ósseos","Tratamento Cirúrgico de Tumores Benignos de Tecidos Ósseos / Cartilaginosos na Região Buco-maxilo-facial","82001596","250.00","Particular","Cirurgia"
"Grade Palatina Removível","Grade Palatina Removível","86000322","195.00","Particular","Ortodontia"
"Manutenção de Aparelho Ortodôntico Fixo","Manutenção de Aparelho Ortodôntico - Aparelho Fixo - controle mensal","86000357","120.00","Particular","Ortodontia"
"Tratamento Cirúrgico para Tumores Odontogênicos Benignos","Tratamento Cirúrgico para Tumores Odontogênicos Benignos - sem reconstrução","82001634","250.00","Particular","Cirurgia"
"Manutenção de Aparelho Ortodôntico Removível","Manutenção de Aparelho Ortodôntico - Aparelho Removível - controle mensal","86000373","90.00","Particular","Ortodontia"
"Tratamento Conservador de Luxação de ATM","Tratamento Conservador de Luxação da Articulação Têmporo-mandibular - ATM","82001642","200.00","Particular","Cirurgia"
"Mascara Facial Delaire e Tração Reversa","Mascara Facial - Delaire e Tração Reversa","86000381","275.00","Particular","Ortodontia"
"Ulectomia","Ulectomia","82001707","105.00","Particular","Cirurgia"
"Mentoneira","Mentoneira","86000390","150.00","Particular","Ortodontia"
"Ulotomia","Ulotomia","82001715","100.00","Particular","Cirurgia"
"Placa de Haley","Placa de Haley","86000462","175.00","Particular","Ortodontia"
"Placa de Haley com torno expansor","Placa de Haley - com torno expansor","86000470","200.00","Particular","Ortodontia"
"Clareamento em Consultório","Clareamento Dentário em Consultório - por arcada","85100030","1290.00","Particular","Dentística"
"Protocolo inferior","Protocolo inferior",,"25000.00","Particular","Implantodontia"
"Placa de Mordida Ortodôntica","Placa de Mordida Ortodôntica","86000489","230.00","Particular","Ortodontia"
"Coroa Provisória sobre Implante","Coroa Provisória sobre Implante","85500011","450.00","Particular","Implantodontia"
"Instalação de implante cone morse","Instalação de implante cone morse",,"1700.00","Particular","Implantodontia"
"Toxina botulínica (botox)","Toxina botulínica (botox)",,"1350.00","Particular","Harmonização facial"
"Instalação de cicatrizador","Instalação de cicatrizador","82001138","150.00","Particular","Implantodontia"
"Placa Labio-ativa (Lip bumper)","Placa Labio-ativa","86000535","250.00","Particular","Ortodontia"
"Ajuste Oclusal por Acréscimo","Ajuste Oclusal por Acréscimo - incluído nos procedimentos de restauração e prótese","85400017","80.00","Particular","Periodontia"
"Aumento de Coroa Clínica","Aumento de Coroa Clínica","82000212","190.00","Particular","Periodontia"
"Plano Inclinado","Plano Inclinado","86000551","230.00","Particular","Ortodontia"
"Cirurgia Periodontal com Retalho","Cirurgia Periodontal a Retalho - por segmento","82000417","200.00","Particular","Periodontia"
"Cunha Proximal","Cunha Proximal","82000557","180.00","Particular","Periodontia"
"Enxerto com Osso Liofilizado","Enxerto c/ Osso Liofilizado","82000620","550.00","Particular","Periodontia"
"Enxerto Gengival Livre","Enxerto Gengival Livre - por segmento/ sextante","82000662","225.00","Particular","Periodontia"
"Quadri-Hélice","Quadri-Hélice","86000560","295.00","Particular","Ortodontia"
"Enxerto Pediculado","Enxerto Pediculado - por segmento / sextante","82000689","190.00","Particular","Periodontia"
"Gengivectomia","Gengivectomia - por segmento","82000921","180.00","Particular","Periodontia"
"Tratamento Ortodôntico com Alinhadores (aligners)",,,"7000.00","Particular","Ortodontia"
"Gengivoplastia","Gengivoplastia - por segmento","82000948","180.00","Particular","Periodontia"
"Ajuste Oclusal por desgaste","Ajuste Oclusal por desgaste seletivo - incluído nos procedimentos de restauração e prótese","85400025","80.00","Particular","Periodontia"
"Placa de mordida miorelaxante","Placa Oclusal Resiliente =placa miorelaxante","85400270","220.00","Particular","Periodontia"
"Coroa Total Metalo Cerâmica","Coroa Total Metalo Cerâmica","85400157","585.00","Particular","Prótese"
"Raspagem Sub-gengival (RASUB)","Raspagem Sub-gengival e Alisamento Radicular (incluído Curetagem de Bolsa Periodontal) - por elemento","85300039","100.00","Particular","Periodontia"
"Raspagem Supra-gengival (RAP) - Limpeza","Raspagem Supra-gengival (incluído Polimento Coronário) - arcada superior + inferior","85300047","90.00","Particular","Periodontia"
"Guia Cirúrgico para Prótese Imediata","Guia Cirúrgico para Prótese Imediata","85400203","280.00","Particular","Prótese"
"Remoção dos Fatores de Retenção de Placa Bacteriana","Remoção dos Fatores de Retenção do Biofilme Dental (Placa Bacteriana) - incluído nos procedimentos de profilaxia, restaurações e próteses","85300055","80.00","Particular","Periodontia"
"Aplicação de Selante de Fóssulas e Fissuras","Aplicação de Selante de Fóssulas e Fissuras - por elemento","84000074","120.00","Particular","Prevenção"
"Tratamento de Fluorose - microabrasão","Tratamento de Fluorose - microabrasão","85100234","85.00","Particular","Periodontia"
"Aplicação Tópica de Flúor","Aplicação Tópica de Flúor - por arcada","84000090","80.00","Particular","Prevenção"
"Tratamento de Gengivite Necrosante Aguda (GNA)","Tratamento de Gengivite Necrosante Aguda (GNA) (por sessão)","85300071","300.00","Particular","Periodontia"
"Tratamento de Pericoronarite","Tratamento de Pericoronarite","85300080","100.00","Particular","Periodontia"
"Coroa Total em Cerâmica Pura","Coroa Total em Cerâmica Pura (Metal free)","85400106","2700.00","Particular","Prótese"
"Tunelização","Tunelização","82001685","120.00","Particular","Periodontia"
"Pino Pré Fabricado","Pino Pré Fabricado","85400262","480.00","Particular","Prótese"
"Aplicação de Cariostático","Aplicação de Cariostático - por arcada","84000031","180.00","Particular","Prevenção"
